,sold_price,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,garage,fireplaces,sqrt_ft,kitchen_features,floor_covering,HOA,zipcode
4302,570000.0,-110.738773,32.252744,4.43,6660.0,1979,10,9.0,1.0,1.0,7220.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Vinyl, Other",0.0,85749
4303,559350.0,-110.874469,32.324496,0.58,4718.0,1994,3,3.0,2.0,2.0,2900.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile, Wood",67.0,85750
4304,571600.0,-111.086026,32.391332,3.3,6582.62,2006,4,4.0,4.0,1.0,4000.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile, Wood",0.0,85742
4305,540000.0,-110.895407,32.316757,1.09,4860.0,2000,4,3.0,3.0,1.0,3067.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone",91.0,85718
4306,560000.0,-110.781742,32.293608,0.8,5565.0,1996,4,5.0,3.0,1.0,3387.0,"Dishwasher, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile",18.0,85749
4307,570000.0,-110.866945,32.292368,0.72,3900.51,1972,4,2.0,3.0,1.0,2287.0,"Dishwasher, Electric Range, Island, Lazy Susan, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Quartz, Microwave: GE Stainless Steel","Laminate, Mexican Tile, Natural Stone",34.0,85750
4308,580000.0,-110.86121,32.541026,0.28,4234.78,2006,3,4.0,3.0,1.0,2904.0,"Dishwasher, Garbage Disposal, Island, Refrigerator","Carpet, Ceramic Tile, Wood",170.0,85739
4309,580000.0,-111.024143,32.449748,5.85,5738.4,1997,4,3.0,3.0,2.0,3307.0,"Dishwasher, Electric Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: granite, Microwave: stainless steel","Ceramic Tile, Concrete",-1.0,85755
4310,565000.0,-110.959997,32.320715,0.8,5022.0,1988,5,4.0,2.0,1.0,3100.0,"Dishwasher, Double Sink, Garbage Disposal, Island, Refrigerator, Appliance Color: Black, Countertops: GRANITE",Natural Stone,5.0,85718
4311,480000.0,-111.0638,32.408088,1.1,1356.0,2017,4,3.0,3.0,0.0,3082.0,"Dishwasher, Double Sink, Electric Range, Garbage Disposal, Island, Pantry: Walk-In, Appliance Color: Stainless, Countertops: Quartz, Microwave: Built in, Oven: Double Ovens","Carpet, Ceramic Tile",-1.0,85742
